8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000000001-mRNA-1 583 569 1798 582 712 1026 568 853 2882 1384 2691 1159 1628
BPAG_0000000101-mRNA-1 926 1510 2358 548 766 1691 481 1256 1213 261 3745 888 1725
BPAG_0000000201-mRNA-1 0 0 0 0 20 3 0 1 465 350 13 16 1
BPAG_0000000301-mRNA-1 66 9 8 10 24 28 12 3 84 61 24 29 158
BPAG_0000000401-mRNA-1 0 1 0 0 1 0 0 0 672 596 83 39 0
BPAG_0000000601-mRNA-1 475 478 538 295 252 205 214 247 399 195 496 323 416
BPAG_0000000701-mRNA-1 1665 797 846 749 919 422 739 429 1264 929 1096 630 1416
BPAG_0000000801-mRNA-1 588 259 858 664 1392 866 727 571 843 532 1044 505 450
BPAG_0000000901-mRNA-1 14 15 58 27 63 54 23 37 499 318 156 55 120
BPAG_0000001001-mRNA-1 72 36 124 83 154 97 94 92 153 90 199 81 85
BPAG_0000001101-mRNA-1 3282 1245 466 469 153 68 413 191 212 172 231 113 160
BPAG_0000001201-mRNA-1 132 64 42 36 5 4 16 9 27 13 2583 1774 3
BPAG_0000001301-mRNA-1 285 164 364 265 277 133 217 160 553 267 266 212 122
BPAG_0000001401-mRNA-1 92 38 175 213 3071 1134 202 113 221 131 158 143 56
BPAG_0000001601-mRNA-1 2 0 8 6 6 11 2 4 1551 1328 14 12 3
BPAG_0000001701-mRNA-1 1309 642 1089 1028 1242 736 868 667 1690 897 4422 2609 1018
BPAG_0000001801-mRNA-1 87 160 266 73 35 39 39 50 43 13 39 7 50
BPAG_0000001901-mRNA-1 2744 1018 1614 1929 918 212 1111 293 759 569 1819 779 604
BPAG_0000002001-mRNA-1 1231 586 1021 846 801 462 674 422 1767 1093 2894 1417 1643
BPAG_0000002101-mRNA-1 1866 1397 2203 919 1125 1082 743 917 2126 765 2753 936 1373
BPAG_0000002401-mRNA-1 261 78 90 101 79 67 37 32 32 18 91 84 61
BPAG_0000002501-mRNA-1 1201 1260 3280 1090 1246 1677 930 1579 3514 952 4059 1409 2433
BPAG_0000002701-mRNA-1 1992 1253 2267 1275 2449 2113 1209 1157 1355 611 919 506 480
BPAG_0000002801-mRNA-1 317 184 372 271 364 208 216 187 760 452 835 412 320
BPAG_0000002901-mRNA-1 291 320 924 283 444 412 272 394 894 307 1265 467 538
BPAG_0000003001-mRNA-1 75 20 40 54 532 26 48 21 34 27 49 49 51
BPAG_0000003101-mRNA-1 897 472 900 811 753 429 615 491 1024 655 1660 1108 847
BPAG_0000003201-mRNA-1 489 244 725 626 757 439 421 369 954 617 1025 758 660
BPAG_0000003301-mRNA-1 10 2 10 13 8 6 4 4 1352 1170 41 44 17
BPAG_0000003401-mRNA-1 622 262 686 555 890 394 473 277 1316 944 1123 715 577
BPAG_0000003501-mRNA-1 778 578 2770 1203 1512 1202 1289 1313 3823 2099 3906 1851 1675
BPAG_0000003601-mRNA-1 165 69 278 287 418 170 265 152 812 621 387 290 72
BPAG_0000003701-mRNA-1 3056 2209 3200 1370 2030 2389 1122 1347 2542 987 2946 1238 2060
BPAG_0000003801-mRNA-1 66 16 72 56 160 83 35 28 37 19 95 57 75
BPAG_0000003901-mRNA-1 1650 703 3153 3075 3377 1396 2982 1715 4022 3047 4486 3336 4233
BPAG_0000004001-mRNA-1 4425 2309 3227 2677 3131 1789 2739 2083 3633 2159 5245 2999 1825
BPAG_0000004101-mRNA-1 985 463 1010 930 1021 695 739 539 1327 684 1990 1189 1084
BPAG_0000004201-mRNA-1 1265 502 2694 1773 223 90 1353 911 727 389 935 654 24
BPAG_0000004301-mRNA-1 2516 1027 3231 1825 316 205 1542 1023 345 171 243 226 313
BPAG_0000004401-mRNA-1 302 46 239 273 93 21 126 72 26 21 11 16 26
BPAG_0000004501-mRNA-1 1801 737 2439 2047 3032 1921 1751 1382 2020 1238 4736 2796 1640
BPAG_0000004601-mRNA-1 783 456 1184 848 1235 627 860 619 2147 1411 2065 1141 887
BPAG_0000004701-mRNA-1 928 661 736 573 1812 1009 476 460 581 268 1138 707 674
BPAG_0000004801-mRNA-1 3230 1437 3460 2795 3255 1599 2338 1790 7676 4890 5207 3040 2692
BPAG_0000004901-mRNA-1 868 509 1043 751 1154 610 996 684 2023 1227 1369 740 423
BPAG_0000005001-mRNA-1 1014 455 183 212 179 105 146 102 218 167 429 312 1084
BPAG_0000005201-mRNA-1 62 22 38 26 15 17 19 11 79 36 283 168 83
BPAG_0000005301-mRNA-1 75 31 43 36 32 17 28 24 104 40 296 194 75
BPAG_0000005401-mRNA-1 85 25 49 35 47 20 32 7 90 36 284 204 52
BPAG_0000005501-mRNA-1 1103 577 1438 1196 1585 762 1249 789 2362 1370 1983 1187 891
BPAG_0000005601-mRNA-1 2436 1069 2794 2744 3685 1916 2420 1606 4351 3028 3651 2559 1618
BPAG_0000005701-mRNA-1 914 669 1382 622 755 795 591 742 1876 755 2542 829 914
BPAG_0000005801-mRNA-1 2774 1125 1271 1291 1530 669 1093 764 1156 848 1578 1378 1165
